Payment Submission Detail Report,1.0,2018-02-13 to 2018-02-13,,,,,,,
batch_id,merchant_id,batch_date,request_id,merchant_ref_number,trans_ref_no,payment_method,currency,amount,transaction_type,payment_processor
"20068741761","uma_garage_parcs","2018-02-13","5184446476926766303016","636540234473980227","421742008XEKI2D2KHGIK","Visa","USD","3.50","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184447916856112703084","636540235914982825","421733892XEKE2D2I1WL5","Visa","USD","1.75","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184455112356465403083","636540243109927069","421741936XEKIMD2KUOHZ","MasterCard","USD","7.00","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184455322076473903083","636540243320267177","421738485XEKL6D2KSW7R","MasterCard","USD","3.50","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184458971016312403021","636540246969059629","421743732XEKHWD2KF5OW","Visa","USD","1.75","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184466152856240303091","636540254151204432","421745050XEKDSD2HRHTJ","Visa","USD","1.75","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184466285216244203091","636540254283211454","421747627XEKL6D2KSXQI","MasterCard","USD","3.50","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184466980966817303055","636540254977156904","421740867XEKHDD8YM6ZF","Visa","USD","1.75","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184469951666587803077","636540257950071639","421750215XEKIVD2KUZZF","Discover","USD","1.75","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184472391006019003062","636540260388808071","421744676XEKHVD2KFA6Z","Visa","USD","1.75","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184472731166686103016","636540260727877398","421744464XEKIFD2KSVNT","Visa","USD","3.50","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184472900466692303016","636540260898255034","421746839XEKIED2KSWAU","Visa","USD","3.50","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184473089476698503016","636540261087979116","421743682XEKDQD2HRF7X","Visa","USD","3.50","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184473467416044403051","636540261463449369","421741498XEKDPD2GQQQR","MasterCard","USD","3.50","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184474497096162003068","636540262495077629","421752602XEKEFD8YG5V0","Visa","USD","3.50","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184475014876178803068","636540263013180311","421751908XEKE6D2I2704","Visa","USD","3.50","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184475118916181603068","636540263117461659","421742400XEKDXD8YG71T","Visa","USD","3.50","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184475920586961003085","636540263917479464","421748963XEKHUD2KF78M","Visa","USD","3.50","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184476413576670203054","636540264409653416","421752310XEKILD2KT0ZJ","Visa","USD","3.50","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184476848566161403051","636540264843485284","421745868XEKE9D8YG5DI","MasterCard","USD","3.50","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184476856206603603091","636540264852001236","421748558XEKI5D8YRSLL","Visa","USD","3.50","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184477260536986703075","636540265258810583","421746085XEKIZD2KUYNM","MasterCard","USD","3.50","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184477510256017003085","636540265508243989","421751033XEKEED2L4HSW","Visa","USD","3.50","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184478229436164703084","636540266227103162","421752230XEKIBD2KSA1K","Visa","USD","3.50","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184478311956167803084","636540266309723522","421747687XEKL6D2KSZEA","Visa","USD","3.50","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184478810386187703084","636540266807877416","421754311XEKIHD2KT16A","Visa","USD","1.75","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184479837086131903015","636540267834287482","421751940XEKE6D2I27OM","Visa","USD","3.50","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184480038696139403015","636540268036111638","421750743XEKEDD2L4JA7","Visa","USD","8.75","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184480138216144203015","636540268136284836","421755305XEKHVD2KFB7Q","Visa","USD","3.50","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184480867396363303086","636540268864701610","421744884XEKE2D2I2140","Discover","USD","3.50","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184480873826608703020","636540268870697934","421747081XEKIKD2KSV8Z","Visa","USD","1.75","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184481776526397503086","636540269774694341","421754227XEKEOD2IAMQ2","Visa","USD","3.50","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184481812266398603086","636540269810428135","421752428XEKHWD2KF8TL","MasterCard","USD","3.50","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184482035406346603055","636540270032039057","421746000XEKIOD2KUTGD","Visa","USD","1.75","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184485477246549203072","636540273475481610","421754036XEKDQD2HRGXM","Visa","USD","3.50","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184487790166373903024","636540275788285577","421749390XEKEAD2L4L93","Visa","USD","3.50","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184488373906227903050","636540276369922690","421757924XEKIID2KT1JJ","Visa","USD","3.50","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184490219766605503094","636540278217933419","421753161XEKIRD2KUTUL","Visa","USD","3.50","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184499285226824103022","636540287281965609","421762419XEKEFD8YG95W","Visa","USD","3.50","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184500359316808203078","636540288356888776","421766502XEKIMD2KUULS","American Express","USD","1.75","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184501017536046403051","636540289014381576","421756393XEKEND2IAQ4O","Visa","USD","5.25","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184502534946265503059","636540290531959695","421765621XEKHVD2KFE2Z","Visa","USD","3.50","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184504940806132903064","636540292937257450","421765223XEKIZD2KV27V","Visa","USD","3.50","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184506043976224103051","636540294041971304","421767719XEKE3D2I2886","Visa","USD","1.75","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184507979676941803050","636540295977570120","421761565XEKIXD2KUYFL","Visa","USD","1.75","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184508110616947003050","636540296107744696","421768037XEKEND2IAR5C","Visa","USD","1.75","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184508187476950003050","636540296185675589","421762555XEKI9D2KSH4O","Visa","USD","1.75","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184509094046153803024","636540297090916450","421765651XEKHVD2KFEW6","Visa","USD","3.50","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184509511526259203073","636540297508814043","421768441XEKDVD2HRMW1","Visa","USD","1.75","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184510568006723703063","636540298564017428","421768546XEKE7D2L4NU3","Visa","USD","3.50","ics_bill","Vital"
